,Profession,Commune,Nom du professionnel,latitude,longitude
0,Radiologue,Lyon,JAVIER RUIZ MUNTHER,45.741534,4.883643
1,Chirurgien orthopédiste et traumatologue,Lyon,JEAN PHILIPPE CAMILLERI,45.771409,4.859181
2,Chirurgien-dentiste,Lyon,NATHALIE BREVET,45.753515,4.868505
3,Ophtalmologiste,Lyon,DAVID SEIFEDDINE,45.776061,4.795672
4,Cardiologue,Lyon,PAUL CHARLES,45.778923,4.83233
5,Sage-femme,Lyon,FLORIAN DESCHARD,45.755517,4.875391
6,Chirurgien orthopédiste et traumatologue,Lyon,FLORENT WEPPE,45.788068,4.790611
7,Chirurgien orthopédiste et traumatologue,Lyon,TRISTAN MEUSNIER,45.76998,4.826596
8,Chirurgien-dentiste,Lyon,DELPHINE CHAUMAZ,45.772601,4.822095
9,Chirurgien-dentiste,Lyon,EDOUARD PORTIER,45.755556,4.854219
10,Chirurgien-dentiste,Lyon,CAMILLE DECOT,45.763505,4.844109
11,Sage-femme,Lyon,MOUNIRA BOUSEKSOU,45.75234,4.831231
12,Médecin généraliste,Lyon,THOMAS SAUTIER,45.745652,4.871593
13,Dermatologue et vénérologue,Lyon,RENAUD ZIMMERMANN,45.732928,4.874368
14,Médecin généraliste,Lyon,VICTOR PUENTEDURA,45.740134,4.888155
15,Chirurgien-dentiste,Lyon,DIDIER SCHWAB,45.771435,4.851397
16,Chirurgien-dentiste,Lyon,PHILIPPE CALAMAND,45.779351,4.811636
17,Ophtalmologiste,Lyon,AURELIE GIMBERT,45.76418,4.844664
18,Anesthésiste réanimateur,Lyon,OLIVIER DESEBBE,45.788414,4.786035
19,Gynécologue obstétricien,Lyon,JOELLE DEKEYSER,45.755518,4.830027
20,Chirurgien-dentiste,Lyon,FREDERIC MERLIN,45.771435,4.851397
21,Chirurgien-dentiste,Lyon,BENJAMIN BELASSEIN,45.758588,4.846481
22,Chirurgien-dentiste,Lyon,EMMANUEL MECHALI,45.735506,4.851489
23,Pédiatre,Lyon,CAMILLE WALTON,45.741534,4.883643
24,Anesthésiste réanimateur,Lyon,DELPHINE ROUSSON,45.76998,4.826596
25,Chirurgien-dentiste,Lyon,HUGO DAL MAS,45.767356,4.813826
26,Sage-femme,Sainte-Foy-lès-Lyon,FANNY GASTALDY,45.732359,4.786047
27,Chirurgien-dentiste,Lyon,YASMINE KHATTABI,45.763531,4.847886
28,Sage-femme,Sainte-Foy-lès-Lyon,SEVERINE CHAUX,45.741041,4.795569
29,Chirurgien plasticien,Lyon,JEAN MARC TOROSSIAN,45.771861,4.859019
30,Chirurgien orthopédiste et traumatologue,Lyon,JEROME VOGELS,45.769605,4.845716
31,Chirurgien orthopédiste et traumatologue,Lyon,JEAN LANGLOIS,45.734463,4.875879
32,Radiologue,Lyon,PIERRE JEAN TERNAMIAN,45.756355,4.871349
33,Chirurgien urologue,Sainte-Foy-lès-Lyon,MARIE DOMINIQUE AZEMAR GARNIER,45.75014,4.797567
34,Chirurgien-dentiste,Lyon,MARIE TOHME,45.743664,4.865517
35,Pneumologue,Lyon,MATHILDE JOUAN,45.734463,4.875879
36,Chirurgien-dentiste,Lyon,RAPHAEL BARTH,45.76682,4.83615
37,Sage-femme,Lyon,ANGELIQUE GODART,45.780429,4.827325
38,Médecin généraliste,Lyon,CAMILLE BLANC COGNAULT,45.780429,4.827325
39,Radiologue,Lyon,MAURICE CHAMPION,45.756355,4.871349
40,Anesthésiste réanimateur,Lyon,OSSAM RHONDALI,45.741534,4.883643
41,Chirurgien orthopédiste et traumatologue,Lyon,ANTOINE MARC,45.734463,4.875879
42,Médecin généraliste,Lyon,BASTIEN PIC,45.74665,4.837032
43,Médecin généraliste,Sainte-Foy-lès-Lyon,NICOLAS PENNEQUIN,45.75014,4.797567
44,Chirurgien-dentiste,Lyon,JEAN DENIS IMBERT,45.747013,4.837028
45,Ophtalmologiste,Lyon,LAURENCE CORNILLON,45.764747,4.846928
46,Médecin généraliste,Chazelles-sur-Lyon,BEATRICE BASSON,45.635635,4.38752
47,Médecin généraliste,Chazelles-sur-Lyon,DEBORAH PEYCELON ANNWEILER,45.635635,4.38752
48,Chirurgien-dentiste,Lyon,AMANDINE ASSI KACOU,45.758955,4.849379
49,Médecin généraliste,Lyon,PIERRE MORIS,45.774959,4.844994
50,Cardiologue,Sainte-Foy-lès-Lyon,FRANCK ABRYSCH,45.750178,4.797973
51,Radiologue,Lyon,NADIA GIOSAN,45.753158,4.869142
52,Chirurgien-dentiste,Lyon,GEORGES HOUG,45.752194,4.831155
53,Chirurgien-dentiste,Lyon,SOPHIE SAUGEOT,45.765735,4.842012
54,Sage-femme,Sainte-Foy-lès-Lyon,JUSTINE CHARTIER,45.734568,4.803901
55,Chirurgien-dentiste,Lyon,FLORENT TRIOLLIER,45.745201,4.865665
56,Chirurgien-dentiste,Lyon,ANNE DIDIER MARCOT,45.750169,4.84499
57,Ophtalmologiste,Lyon,THEO LEREUIL,45.768409,4.848654
58,Radiologue,Lyon,VIVIEN THOMSON,45.759933,4.796662
59,Anesthésiste réanimateur,Lyon,AYMEN DERBEL,45.741534,4.883643
60,Chirurgien viscéral,Lyon,BENOIT GIGNOUX,45.788405,4.785526
61,Radiologue,Lyon,SEBASTIEN RONZE,45.756587,4.798997
62,Chirurgien maxillo-facial et stomatologiste,Lyon,PAUL CRESSEAUX,45.734463,4.875879
63,Stomatologist,Lyon,ANNE DE MOURGUES,45.788068,4.790611
64,Chirurgien-dentiste,Lyon,BRIGITTE FARAHAT,45.778633,4.828274
65,Chirurgien-dentiste,Lyon,STEPHANIE VALENTIN,45.758588,4.846481
66,Chirurgien-dentiste,Lyon,CHRISTOPHE LALLICH,45.753791,4.832537
67,Radiologue,Lyon,BENJAMIN DE BATS,45.756587,4.798997
68,Ophtalmologiste,Lyon,STEPHANIE REFAIT,45.788414,4.786035
69,Chirurgien plasticien,Lyon,BENOIT GARNIER,45.767958,4.85969
70,Médecin généraliste,Lyon,CECILE CONFALONIERIE,45.759904,4.842854
71,Dermatologue et vénérologue,Lyon,CLELIA MOULIN,45.755369,4.831392
72,Médecin généraliste,Lyon,TIMOTHEE MANNHEIMER,45.767271,4.814276
