nom;longitude;latitude;nb
Perrache;4.82687993;45.74997054;1
Ampère - Victor Hugo;4.82904121;45.75303805;1
Bellecour;4.83183995;45.75704259;2
Cordeliers;4.83568067;45.76280297;1
Foch;4.84409278;45.76880913;1
Masséna;4.852909;45.76961383;1
Charpennes;4.8641947;45.77076284;2
République Villeurbanne;4.87322791;45.77074105;1
Gratte Ciel;4.88165451;45.76920602;1
Flachet;4.89006353;45.76764284;1
Cusset;4.89988064;45.76583553;1
Laurent Bonnevay;4.90884698;45.76402212;1
Vaulx-en-Velin La Soie;4.9214775;45.76109131;1
Brotteaux;4.85896561;45.76676307;1
Gare Part-Dieu V.Merle;4.85826058;45.76166313;1
Place Guichard;4.84759564;45.75950362;1
Saxe - Gambetta;4.84701961;45.75373673;2
Jean Macé;4.84290089;45.74674016;1
Place Jean Jaurès;4.8377118;45.73801938;1
Debourg;4.83385191;45.73155908;1
Stade de Gerland Le LOU;4.83125381;45.72715538;1
Croix-Paquet;4.83630514;45.77084044;1
Croix-Rousse;4.83204228;45.77446606;1
Hénon;4.8274446;45.77910419;1
Cuire;4.83240655;45.78504578;1
Gare de Vénissieux;4.88800659;45.70613838;1
Parilly;4.88741334;45.7196187;1
Mermoz - Pinel;4.88832779;45.73098906;1
Monplaisir Lumière;4.87103938;45.74569892;1
Sans Souci;4.86457099;45.74793003;1
Garibaldi;4.85313371;45.75192462;1
Guillotière Gabriel Péri;4.84239423;45.75562898;1
Vieux Lyon;4.82633834;45.75998372;3
Gorge de Loup;4.80551694;45.76677157;1
Valmy;4.80516999;45.77520475;1
Gare de Vaise;4.80417294;45.77978607;1
Fourvière;4.82147007;45.76238488;1
St-Just;4.81612958;45.75720833;1
Minimes Théâtres Romains;4.82119648;45.75829174;1
Ampère - Victor Hugo;4.82951744;45.7531876;1
Bellecour;4.83408198;45.7581682;2
Bellecour;4.83365145;45.75783681;2
Bellecour;4.83371601;45.75771224;2
Cordeliers;4.83569768;45.76308415;1
Cordeliers;4.83574752;45.7637565;1
Cordeliers;4.83585983;45.76280051;1
Hôtel de Ville L. Pradel;4.83609626;45.76693435;2
Foch;4.84465435;45.76886887;1
Foch;4.84412954;45.76863369;1
Foch;4.8446912;45.76868118;1
Masséna;4.85352713;45.76966659;1
Masséna;4.85293593;45.76946858;1
Masséna;4.85355442;45.76952943;1
Charpennes;4.86438821;45.77049825;2
République Villeurbanne;4.87381833;45.77063293;1
République Villeurbanne;4.87311616;45.77063826;1
République Villeurbanne;4.87385166;45.77050489;1
Gratte Ciel;4.88196222;45.7691516;1
Gratte Ciel;4.88126525;45.76913824;1
Gratte Ciel;4.88190524;45.76900968;1
Flachet;4.89052753;45.76755577;1
Flachet;4.89004757;45.76752348;1
Flachet;4.89041203;45.76745605;1
Cusset;4.90077152;45.7658403;1
Cusset;4.90096974;45.76530829;1
Laurent Bonnevay;4.90865591;45.76428169;1
Vaulx-en-Velin La Soie;4.9223956;45.76126892;1
Charpennes;4.8633937;45.77033323;2
Brotteaux;4.85929328;45.76701737;1
Brotteaux;4.85952452;45.76720786;1
Gare Part-Dieu V.Merle;4.85639205;45.76159176;1
Place Guichard;4.84712981;45.75936443;1
Place Guichard;4.84773933;45.75941741;1
Place Guichard;4.84763568;45.75906526;1
