valeur_fonciere,code_postal,nom_commune,type_local,surface_reelle_bati,surface_terrain,longitude,latitude,prix_du_m_carre
138000.00,69420,Condrieu,Maison,48.00,73.00,4.7590970,45.4574210,2875.0
166000.00,69420,Condrieu,Maison,92.00,80.00,4.7694660,45.4582440,1804.3478260869565
166000.00,69420,Condrieu,Appartement,65.00,,4.7706930,45.4582920,2553.846153846154
246350.00,69420,Condrieu,Appartement,106.00,,4.7696440,45.4584360,2324.056603773585
315000.00,69420,Condrieu,Maison,89.00,130.00,4.7702540,45.4585030,3539.325842696629
345000.00,69420,Condrieu,Maison,168.00,428.00,4.7654930,45.4588630,2053.5714285714284
300000.00,69420,Condrieu,Maison,115.00,710.00,4.7626190,45.4608390,2608.695652173913
130000.00,69420,Condrieu,Appartement,49.00,,4.7635210,45.4613070,2653.061224489796
148100.00,69420,Condrieu,Appartement,72.00,,4.7634410,45.4615410,2056.9444444444443
105000.00,69420,Condrieu,Appartement,45.00,,4.7657170,45.4618780,2333.3333333333335
266630.00,69420,Condrieu,Maison,180.00,96.00,4.7653490,45.4621950,1481.2777777777778
443450.00,69420,Condrieu,Appartement,31.00,225.00,4.7674390,45.4627050,14304.838709677419
168000.00,69420,Condrieu,Maison,300.00,589.00,4.7699020,45.4629960,560.0
102100.00,69420,Condrieu,Appartement,50.00,,4.7671780,45.4630130,2042.0
150000.00,69420,Condrieu,Appartement,63.00,182.00,4.7668740,45.4630980,2380.9523809523807
97000.00,69420,Condrieu,Maison,86.00,96.00,4.7672090,45.4632470,1127.906976744186
121300.00,69420,Condrieu,Maison,78.00,34.00,4.7668970,45.4634110,1555.128205128205
228000.00,69420,Condrieu,Appartement,152.00,,4.7664810,45.4637360,1500.0
161800.00,69420,Condrieu,Maison,53.00,85.00,4.7670450,45.4639600,3052.830188679245
186550.00,69420,Condrieu,Maison,80.00,49.00,4.7661850,45.4643150,2331.875
206350.00,69420,Condrieu,Maison,100.00,630.00,4.7702580,45.4644370,2063.5
115800.00,69420,Condrieu,Maison,70.00,118.00,4.7671120,45.4644450,1654.2857142857142
115000.00,69420,Condrieu,Maison,48.00,90.00,4.7661530,45.4645120,2395.8333333333335
180000.00,69420,Condrieu,Maison,50.00,526.00,4.7783010,45.4646650,3600.0
230000.00,69420,Condrieu,Maison,74.00,502.00,4.7697380,45.4650050,3108.108108108108
366870.00,69420,Condrieu,Maison,80.00,702.00,4.7690250,45.4660260,4585.875
364100.00,69420,Condrieu,Maison,95.00,1435.00,4.7716930,45.4672390,3832.6315789473683
199000.00,69420,Condrieu,Maison,77.00,170.00,4.7743580,45.4684480,2584.4155844155844
307150.00,69420,Condrieu,Maison,113.00,567.00,4.7749120,45.4689500,2718.141592920354
224690.00,69420,Condrieu,Appartement,83.00,,4.7729750,45.4691380,2707.10843373494
375450.00,69420,Condrieu,Maison,105.00,450.00,4.7732530,45.4699770,3575.714285714286
159000.00,69420,Condrieu,Maison,77.00,713.00,4.7762540,45.4706160,2064.935064935065
297000.00,69420,Condrieu,Maison,95.00,378.00,4.7665490,45.4714150,3126.315789473684
370000.00,69420,Tupin-et-Semons,Maison,140.00,,4.7756580,45.4743110,2642.8571428571427
440000.00,69420,Condrieu,Maison,103.00,1007.00,4.7608670,45.4749890,4271.844660194175
268000.00,69420,Longes,Maison,106.00,500.00,4.6819200,45.4807140,2528.301886792453
200000.00,69420,Tupin-et-Semons,Maison,159.00,280.00,4.7897470,45.4844920,1257.861635220126
280000.00,69420,Ampuis,Maison,108.00,570.00,4.7945940,45.4852270,2592.5925925925926
120000.00,69420,Ampuis,Maison,41.00,236.00,4.8094430,45.4856630,2926.829268292683
779100.00,69420,Tupin-et-Semons,Maison,175.00,1313.00,4.7855320,45.4880830,4452.0
132050.00,69420,Ampuis,Appartement,98.00,,4.8044830,45.4880930,1347.4489795918366
223000.00,69420,Ampuis,Maison,88.00,210.00,4.8046980,45.4890900,2534.090909090909
151500.00,69420,Ampuis,Appartement,57.00,,4.8095440,45.4895980,2657.8947368421054
210000.00,69420,Ampuis,Appartement,68.00,,4.8102790,45.4904850,3088.235294117647
246750.00,69420,Ampuis,Maison,89.00,511.00,4.8136050,45.4909610,2772.4719101123596
700000.00,69420,Ampuis,Maison,140.00,512.00,4.8148950,45.4915020,5000.0
215000.00,69420,Ampuis,Maison,90.00,241.00,4.8165690,45.4929930,2388.8888888888887
210000.00,69420,Ampuis,Maison,80.00,474.00,4.7903960,45.5004190,2625.0
340000.00,69420,Ampuis,Maison,101.00,500.00,4.8137210,45.5010430,3366.3366336633662
160000.00,69420,Les Haies,Maison,73.00,364.00,4.7463260,45.5027460,2191.780821917808
125000.00,69420,Longes,Maison,70.00,388.00,4.6884890,45.5032640,1785.7142857142858
230000.00,69420,Les Haies,Maison,98.00,714.00,4.7476820,45.5035300,2346.938775510204
140000.00,69420,Ampuis,Maison,81.00,62.00,4.8356660,45.5037190,1728.3950617283951
220000.00,69420,Les Haies,Maison,124.00,354.00,4.7472690,45.5044500,1774.1935483870968
180650.00,69420,Longes,Maison,100.00,50.00,4.6889170,45.5046620,1806.5
518020.00,69420,Les Haies,Maison,122.00,1225.00,4.7464620,45.5047910,4246.065573770492
44000.00,69420,Longes,Maison,106.00,,4.6868510,45.5078010,415.0943396226415
232122.00,69420,Longes,Maison,78.00,664.00,4.6876520,45.5085790,2975.923076923077
580000.00,69420,Tupin-et-Semons,Maison,50.00,1814.00,4.7708280,45.5104790,11600.0
585000.00,69560,Saint-Cyr-sur-le-Rhône,Maison,400.00,1465.00,4.8506860,45.5135990,1462.5
276000.00,69420,Les Haies,Maison,150.00,1944.00,4.7452800,45.5146550,1840.0
442000.00,69560,Saint-Cyr-sur-le-Rhône,Maison,120.00,1000.00,4.8446170,45.5152420,3683.3333333333335
266550.00,69560,Saint-Cyr-sur-le-Rhône,Maison,131.00,1025.00,4.8537630,45.5157920,2034.7328244274809
523000.00,69560,Saint-Cyr-sur-le-Rhône,Maison,138.00,1008.00,4.8311290,45.5159430,3789.855072463768
447300.00,69560,Saint-Cyr-sur-le-Rhône,Maison,171.00,500.00,4.8326850,45.5169330,2615.7894736842104
380000.00,69560,Saint-Cyr-sur-le-Rhône,Maison,120.00,747.00,4.8485880,45.5169950,3166.6666666666665
360000.00,69560,Saint-Cyr-sur-le-Rhône,Maison,151.00,515.00,4.8347330,45.5174460,2384.1059602649007
263000.00,69560,Saint-Cyr-sur-le-Rhône,Maison,145.00,2790.00,4.8536790,45.5185340,1813.7931034482758
441100.00,69420,Ampuis,Maison,118.00,500.00,4.7874280,45.5202180,3738.135593220339
190000.00,69560,Sainte-Colombe,Appartement,63.00,,4.8627520,45.5204970,3015.873015873016
248025.00,69420,Longes,Maison,172.00,,4.6651730,45.5210140,1442.0058139534883
100500.00,69420,Longes,Maison,80.00,302.00,4.6652040,45.5212140,1256.25
66000.00,69560,Sainte-Colombe,Appartement,22.00,,4.8641500,45.5218470,3000.0
205000.00,69560,Sainte-Colombe,Appartement,72.00,,4.8658090,45.5230490,2847.222222222222
284000.00,69560,Sainte-Colombe,Appartement,78.00,,4.8665200,45.5238070,3641.025641025641
163000.00,69560,Sainte-Colombe,Appartement,86.00,,4.8619790,45.5251000,1895.3488372093022
149000.00,69560,Sainte-Colombe,Appartement,56.00,,4.8687450,45.5257080,2660.714285714286
82000.00,69420,Trèves,Maison,130.00,156.00,4.7111100,45.5261960,630.7692307692307
850000.00,69560,Sainte-Colombe,Appartement,21.00,3798.00,4.8652080,45.5263700,40476.19047619047
278000.00,69560,Sainte-Colombe,Maison,80.00,132.00,4.8508240,45.5264600,3475.0
119000.00,69560,Sainte-Colombe,Appartement,58.00,,4.8685850,45.5264680,2051.7241379310344
84000.00,69560,Sainte-Colombe,Appartement,43.00,,4.8673000,45.5265720,1953.4883720930231
270000.00,69420,Trèves,Maison,70.00,272.00,4.7113890,45.5265810,3857.1428571428573
938620.00,69560,Sainte-Colombe,Maison,280.00,900.00,4.8592070,45.5267370,3352.214285714286
327120.00,69560,Sainte-Colombe,Maison,117.00,86.00,4.8683140,45.5267980,2795.897435897436
292000.00,69560,Sainte-Colombe,Maison,80.00,386.00,4.8622530,45.5270910,3650.0
129000.00,69560,Saint-Romain-en-Gal,Appartement,68.00,,4.8631550,45.5271070,1897.0588235294117
186000.00,69560,Saint-Romain-en-Gal,Appartement,72.00,,4.8670300,45.5271680,2583.3333333333335
732900.00,69560,Sainte-Colombe,Maison,170.00,726.00,4.8562720,45.5276430,4311.176470588235
312000.00,69560,Saint-Romain-en-Gal,Maison,136.00,393.00,4.8662510,45.5282070,2294.1176470588234
58032.00,69560,Sainte-Colombe,Maison,110.00,1118.00,4.8613670,45.5282460,527.5636363636364
319450.00,69560,Sainte-Colombe,Maison,154.00,647.00,4.8561550,45.5284630,2074.3506493506493
435000.00,69420,Trèves,Maison,160.00,3127.00,4.7002110,45.5297860,2718.75
295000.00,69560,Saint-Romain-en-Gal,Maison,90.00,3540.00,4.8137340,45.5314490,3277.777777777778
265200.00,69560,Saint-Romain-en-Gal,Maison,70.00,456.00,4.8679380,45.5325450,3788.5714285714284
411000.00,69700,Échalas,Maison,115.00,999.00,4.7115060,45.5334970,3573.913043478261
286000.00,69560,Saint-Romain-en-Gal,Maison,103.00,729.00,4.8579400,45.5335720,2776.6990291262136
130000.00,69560,Saint-Romain-en-Gal,Maison,65.00,517.00,4.8576130,45.5340750,2000.0
157500.00,69560,Saint-Romain-en-Gal,Appartement,84.00,,4.8557400,45.5357770,1875.0
125000.00,69560,Saint-Romain-en-Gal,Appartement,55.00,,4.8538910,45.5381440,2272.7272727272725
202000.00,69440,Chabanière,Maison,139.00,125.00,4.6477380,45.5418810,1453.2374100719423
168800.00,69440,Chabanière,Appartement,90.00,,4.6479060,45.5419090,1875.5555555555557
366000.00,69440,Chabanière,Maison,190.00,462.00,4.6473270,45.5421980,1926.3157894736842
260000.00,69420,Trèves,Appartement,90.00,,4.6788390,45.5422270,2888.8888888888887
295000.00,69440,Chabanière,Maison,99.00,911.00,4.6419380,45.5441040,2979.7979797979797
195000.00,69700,Échalas,Maison,68.00,286.00,4.7078960,45.5443870,2867.6470588235293
357450.00,69440,Chabanière,Maison,145.00,60.00,4.6368720,45.5460040,2465.1724137931033
260000.00,69700,Échalas,Maison,105.00,184.00,4.7208480,45.5499260,2476.190476190476
319000.00,69700,Échalas,Maison,97.00,976.00,4.7195000,45.5512670,3288.659793814433
120000.00,69700,Échalas,Appartement,90.00,,4.7179110,45.5542340,1333.3333333333333
453150.00,69700,Loire-sur-Rhône,Maison,125.00,930.00,4.8076490,45.5545250,3625.2
312375.00,69560,Saint-Romain-en-Gal,Maison,150.00,865.00,4.8120080,45.5546780,2082.5
135000.00,69700,Loire-sur-Rhône,Appartement,41.00,820.00,4.8134510,45.5560150,3292.682926829268
315000.00,69700,Loire-sur-Rhône,Appartement,66.00,362.00,4.8120390,45.5561640,4772.727272727273
298000.00,69440,Chabanière,Maison,70.00,106.00,4.6378810,45.5569190,4257.142857142857
250000.00,69700,Loire-sur-Rhône,Maison,73.00,977.00,4.8111790,45.5569440,3424.6575342465753
160000.00,69700,Loire-sur-Rhône,Maison,70.00,227.00,4.8048010,45.5573490,2285.714285714286
175000.00,69700,Loire-sur-Rhône,Appartement,87.00,,4.8035930,45.5578950,2011.4942528735633
314500.00,69700,Loire-sur-Rhône,Maison,62.00,321.00,4.8070750,45.5585140,5072.580645161291
225000.00,69700,Loire-sur-Rhône,Maison,52.00,131.00,4.8107380,45.5591570,4326.923076923077
203150.00,69700,Loire-sur-Rhône,Maison,78.00,73.00,4.8063650,45.5599110,2604.4871794871797
165700.00,69700,Loire-sur-Rhône,Appartement,76.00,,4.8082530,45.5603640,2180.2631578947367
240000.00,69700,Loire-sur-Rhône,Maison,92.00,74.00,4.8066020,45.5608190,2608.695652173913
627401.00,69700,Échalas,Maison,178.00,500.00,4.7467610,45.5609400,3524.724719101124
335590.00,69700,Loire-sur-Rhône,Maison,160.00,156.00,4.8055660,45.5609510,2097.4375
180000.00,69700,Loire-sur-Rhône,Maison,70.00,322.00,4.8064900,45.5609790,2571.4285714285716
259000.00,69700,Loire-sur-Rhône,Appartement,84.00,1805.00,4.8037500,45.5610850,3083.3333333333335
122600.00,69700,Loire-sur-Rhône,Maison,67.00,70.00,4.8055330,45.5616990,1829.8507462686566
215000.00,69700,Loire-sur-Rhône,Maison,111.00,497.00,4.8056160,45.5617570,1936.936936936937
229000.00,69700,Loire-sur-Rhône,Maison,68.00,314.00,4.8065500,45.5618030,3367.6470588235293
297300.00,69700,Saint-Romain-en-Gier,Maison,97.00,1000.00,4.7053720,45.5626140,3064.9484536082473
254400.00,69700,Saint-Romain-en-Gier,Maison,108.00,1140.00,4.7011260,45.5627750,2355.5555555555557
239900.00,69700,Loire-sur-Rhône,Maison,83.00,235.00,4.8035510,45.5628840,2890.3614457831327
345800.00,69700,Beauvallon,Maison,106.00,503.00,4.6880170,45.5634850,3262.264150943396
205000.00,69700,Loire-sur-Rhône,Maison,73.00,624.00,4.7999040,45.5643790,2808.219178082192
442000.00,69700,Saint-Romain-en-Gier,Maison,105.00,813.00,4.7140050,45.5654430,4209.523809523809
263800.00,69700,Saint-Romain-en-Gier,Maison,102.00,1034.00,4.7123430,45.5656300,2586.274509803922
287686.00,69700,Saint-Romain-en-Gier,Maison,112.00,714.00,4.7109230,45.5658930,2568.625
240000.00,69700,Loire-sur-Rhône,Maison,68.00,90.00,4.7999540,45.5663140,3529.4117647058824
330000.00,69700,Saint-Romain-en-Gier,Maison,111.00,2900.00,4.7124690,45.5669230,2972.972972972973
273000.00,69700,Loire-sur-Rhône,Maison,109.00,188.00,4.7984120,45.5677830,2504.587155963303
232000.00,69700,Loire-sur-Rhône,Maison,94.00,135.00,4.7983330,45.5678600,2468.0851063829787
308050.00,69700,Loire-sur-Rhône,Maison,118.00,321.00,4.7982060,45.5678890,2610.593220338983
216500.00,69700,Givors,Maison,92.00,496.00,4.7962320,45.5694800,2353.2608695652175
321500.00,69700,Saint-Romain-en-Gier,Maison,120.00,515.00,4.7042350,45.5700900,2679.1666666666665
215000.00,69700,Givors,Maison,75.00,,4.7919290,45.5705840,2866.6666666666665
97899.00,69700,Givors,Maison,87.00,570.00,4.7913220,45.5706820,1125.2758620689656
175000.00,69700,Givors,Appartement,110.00,174.00,4.7920280,45.5713130,1590.909090909091
303000.00,69700,Givors,Maison,110.00,440.00,4.7924270,45.5713230,2754.5454545454545
180000.00,69700,Givors,Maison,143.00,,4.7929010,45.5723960,1258.7412587412587
180000.00,69700,Givors,Appartement,90.00,,4.7929330,45.5736740,2000.0
154000.00,69700,Givors,Appartement,55.00,,4.7919090,45.5739790,2800.0
252500.00,69700,Givors,Maison,151.00,669.00,4.7903750,45.5740510,1672.1854304635763
200000.00,69700,Beauvallon,Maison,165.00,544.00,4.6723680,45.5741920,1212.121212121212
475000.00,69700,Beauvallon,Maison,100.00,982.00,4.6626850,45.5744690,4750.0
86250.00,69700,Givors,Maison,124.00,585.00,4.7909420,45.5746650,695.5645161290323
367000.00,69700,Beauvallon,Maison,99.00,333.00,4.6579660,45.5758640,3707.070707070707
250000.00,69700,Beauvallon,Maison,117.00,1000.00,4.6945780,45.5760160,2136.7521367521367
54606.95,69440,Chabanière,Maison,123.00,500.00,4.5952100,45.5764980,443.9589430894309
130000.00,69360,Communay,Maison,60.00,2236.00,4.8574080,45.5771070,2166.6666666666665
165000.00,69700,Givors,Maison,48.00,285.00,4.7861430,45.5772210,3437.5
428945.00,69700,Givors,Maison,109.00,871.00,4.7514830,45.5773990,3935.2752293577983
173000.00,69700,Givors,Maison,99.00,183.00,4.7871120,45.5774250,1747.4747474747476
950670.00,69440,Chabanière,Maison,200.00,740.00,4.6438610,45.5774980,4753.35
306500.00,69700,Givors,Maison,96.00,444.00,4.7522410,45.5776680,3192.7083333333335
109000.00,69700,Givors,Appartement,58.00,,4.7862970,45.5777210,1879.3103448275863
320000.00,69700,Givors,Maison,90.00,422.00,4.7537400,45.5785740,3555.5555555555557
419000.00,69700,Givors,Maison,105.00,730.00,4.7756830,45.5788300,3990.4761904761904
243000.00,69700,Givors,Maison,118.00,787.00,4.7546830,45.5788320,2059.322033898305
300800.00,69700,Beauvallon,Maison,84.00,1280.00,4.6951140,45.5790980,3580.9523809523807
285000.00,69700,Givors,Maison,125.00,1106.00,4.7239700,45.5796120,2280.0
312500.00,69700,Givors,Maison,115.00,2530.00,4.7559160,45.5799260,2717.391304347826
340000.00,69360,Communay,Maison,50.00,990.00,4.8575620,45.5802450,6800.0
290000.00,69700,Givors,Maison,84.00,496.00,4.7567660,45.5802720,3452.3809523809523
120000.00,69700,Givors,Appartement,95.00,,4.7265700,45.5804420,1263.157894736842
90000.00,69700,Givors,Maison,80.00,1343.00,4.7641720,45.5810200,1125.0
185000.00,69700,Givors,Appartement,78.00,,4.7760330,45.5813180,2371.7948717948716
645000.00,69440,Chabanière,Maison,246.00,1662.00,4.6165680,45.5815260,2621.951219512195
192000.00,69700,Givors,Maison,120.00,346.00,4.7244880,45.5820200,1600.0
